file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
136,C7,PPMA,HHN,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:45.00
137,C7,PPMA,HHE,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:51:53.00
138,C7,PPMA,HHZ,FFT,2021-09-18 00:00:00.00,2021-09-19 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:02.00
139,C7,PLPI,HHN,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:10.00
140,C7,PLPI,HHE,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:18.00
141,C7,PLPI,HHZ,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:27.00
142,C7,PPMA,HHN,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:35.00
143,C7,PPMA,HHE,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:43.00
144,C7,PPMA,HHZ,FFT,2021-09-19 00:00:00.00,2021-09-20 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:52:52.00
145,C7,PLPI,HHN,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:00.00
146,C7,PLPI,HHE,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:08.00
147,C7,PLPI,HHZ,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:16.00
148,C7,PPMA,HHN,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:25.00
149,C7,PPMA,HHE,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:33.00
150,C7,PPMA,HHZ,FFT,2021-09-20 00:00:00.00,2021-09-21 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:41.00
151,C7,PLPI,HHN,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:50.00
152,C7,PLPI,HHE,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:53:58.00
153,C7,PLPI,HHZ,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:06.00
154,C7,PPMA,HHN,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:14.00
155,C7,PPMA,HHE,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:22.00
